"","InfantID","SegmentID","FileName","code1","code2","seqcode"
"1","WW04","1","WW04_segment1_full.txt","X","N","XN"
"2","WW04","1","WW04_segment1_full.txt","N","N","NN"
"3","WW04","1","WW04_segment1_full.txt","N","P","NP"
"4","WW04","1","WW04_segment1_full.txt","P","P","PP"
"5","WW04","1","WW04_segment1_full.txt","P","X","PX"
"6","WW04","1","WW04_segment1_full.txt","X","T","XT"
"7","WW04","1","WW04_segment1_full.txt","T","T","TT"
"8","WW04","1","WW04_segment1_full.txt","T","C","TC"
"9","WW04","1","WW04_segment1_full.txt","C","T","CT"
"10","WW04","1","WW04_segment1_full.txt","T","P","TP"
"11","WW04","1","WW04_segment1_full.txt","P","T","PT"
"12","WW04","1","WW04_segment1_full.txt","T","T","TT"
"13","WW04","1","WW04_segment1_full.txt","T","T","TT"
"14","WW04","1","WW04_segment1_full.txt","T","P","TP"
"15","WW04","1","WW04_segment1_full.txt","P","P","PP"
"16","WW04","1","WW04_segment1_full.txt","P","P","PP"
"17","WW04","1","WW04_segment1_full.txt","P","P","PP"
"18","WW04","1","WW04_segment1_full.txt","P","P","PP"
"19","WW04","1","WW04_segment1_full.txt","P","P","PP"
"20","WW04","1","WW04_segment1_full.txt","P","C","PC"
"21","WW04","1","WW04_segment1_full.txt","C","P","CP"
"22","WW04","1","WW04_segment1_full.txt","P","P","PP"
"23","WW04","1","WW04_segment1_full.txt","P","P","PP"
"24","WW04","1","WW04_segment1_full.txt","P","P","PP"
"25","WW04","1","WW04_segment1_full.txt","P","P","PP"
"26","WW04","1","WW04_segment1_full.txt","P","P","PP"
"27","WW04","1","WW04_segment1_full.txt","P","P","PP"
"28","WW04","1","WW04_segment1_full.txt","P","P","PP"
"29","WW04","1","WW04_segment1_full.txt","P","P","PP"
"30","WW04","1","WW04_segment1_full.txt","P","P","PP"
"31","WW04","1","WW04_segment1_full.txt","P","P","PP"
"32","WW04","1","WW04_segment1_full.txt","P","P","PP"
"33","WW04","1","WW04_segment1_full.txt","P","P","PP"
"34","WW04","1","WW04_segment1_full.txt","P","P","PP"
"35","WW04","1","WW04_segment1_full.txt","P","P","PP"
"36","WW04","1","WW04_segment1_full.txt","P","P","PP"
"37","WW04","1","WW04_segment1_full.txt","P","P","PP"
"38","WW04","1","WW04_segment1_full.txt","P","P","PP"
"39","WW04","1","WW04_segment1_full.txt","P","P","PP"
"40","WW04","1","WW04_segment1_full.txt","P","P","PP"
"41","WW04","1","WW04_segment1_full.txt","P","U","PU"
"42","WW04","1","WW04_segment1_full.txt","U","U","UU"
"43","WW04","1","WW04_segment1_full.txt","U","P","UP"
"44","WW04","1","WW04_segment1_full.txt","P","P","PP"
"45","WW04","1","WW04_segment1_full.txt","P","C","PC"
"46","WW04","1","WW04_segment1_full.txt","C","P","CP"
"47","WW04","1","WW04_segment1_full.txt","P","P","PP"
"48","WW04","1","WW04_segment1_full.txt","P","P","PP"
"49","WW04","1","WW04_segment1_full.txt","P","P","PP"
"50","WW04","1","WW04_segment1_full.txt","P","P","PP"
"51","WW04","1","WW04_segment1_full.txt","P","P","PP"
"52","WW04","1","WW04_segment1_full.txt","P","P","PP"
"53","WW04","1","WW04_segment1_full.txt","P","P","PP"
"54","WW04","1","WW04_segment1_full.txt","P","U","PU"
"55","WW04","1","WW04_segment1_full.txt","U","P","UP"
"56","WW04","1","WW04_segment1_full.txt","P","P","PP"
"57","WW04","1","WW04_segment1_full.txt","P","P","PP"
"58","WW04","1","WW04_segment1_full.txt","P","C","PC"
"59","WW04","1","WW04_segment1_full.txt","C","X","CX"
"60","WW04","1","WW04_segment1_full.txt","X","X","XX"
"61","WW04","1","WW04_segment1_full.txt","X","P","XP"
"62","WW04","1","WW04_segment1_full.txt","P","P","PP"
"63","WW04","1","WW04_segment1_full.txt","P","R","PR"
"64","WW04","1","WW04_segment1_full.txt","R","R","RR"
"65","WW04","1","WW04_segment1_full.txt","R","P","RP"
"66","WW04","1","WW04_segment1_full.txt","P","R","PR"
"67","WW04","1","WW04_segment1_full.txt","R","P","RP"
"68","WW04","1","WW04_segment1_full.txt","P","P","PP"
"69","WW04","1","WW04_segment1_full.txt","P","P","PP"
"70","WW04","1","WW04_segment1_full.txt","P","P","PP"
"71","WW04","1","WW04_segment1_full.txt","P","P","PP"
"72","WW04","1","WW04_segment1_full.txt","P","P","PP"
"73","WW04","1","WW04_segment1_full.txt","P","P","PP"
"74","WW04","1","WW04_segment1_full.txt","P","P","PP"
"75","WW04","1","WW04_segment1_full.txt","P","P","PP"
"76","WW04","1","WW04_segment1_full.txt","P","C","PC"
"77","WW04","1","WW04_segment1_full.txt","C","P","CP"
"78","WW04","1","WW04_segment1_full.txt","P","C","PC"
"79","WW04","1","WW04_segment1_full.txt","C","P","CP"
"80","WW04","1","WW04_segment1_full.txt","P","P","PP"
"81","WW04","1","WW04_segment1_full.txt","P","C","PC"
"82","WW04","1","WW04_segment1_full.txt","C","P","CP"
"83","WW04","1","WW04_segment1_full.txt","P","P","PP"
"84","WW04","1","WW04_segment1_full.txt","P","C","PC"
"85","WW04","1","WW04_segment1_full.txt","C","C","CC"
"86","WW04","1","WW04_segment1_full.txt","C","C","CC"
"87","WW04","1","WW04_segment1_full.txt","C","C","CC"
"88","WW04","1","WW04_segment1_full.txt","C","C","CC"
"89","WW04","1","WW04_segment1_full.txt","C","C","CC"
"90","WW04","1","WW04_segment1_full.txt","C","P","CP"
"91","WW04","1","WW04_segment1_full.txt","P","P","PP"
"92","WW04","1","WW04_segment1_full.txt","P","X","PX"
